epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1350.46,1.31562,2.35055,1.22148,0.79075,0.7871,0.80799,0.55242,1.35489,2.19651,1.32728,0.005743,0.005743,0.005743
45,1380.64,1.29238,2.49956,1.21918,0.82607,0.83179,0.84966,0.58177,1.38311,2.5322,1.34689,0.005644,0.005644,0.005644
46,1411.38,1.29547,2.34106,1.2286,0.78934,0.78224,0.79874,0.55375,1.3433,2.23952,1.32453,0.005545,0.005545,0.005545
47,1441.62,1.28148,2.32413,1.2017,0.86038,0.87233,0.88082,0.5998,1.34852,2.21703,1.31281,0.005446,0.005446,0.005446
48,1471.8,1.28968,2.44579,1.19737,0.86088,0.85469,0.86547,0.60493,1.36831,2.16304,1.33205,0.005347,0.005347,0.005347
49,1502.17,1.25567,2.22751,1.20072,0.88038,0.88324,0.89579,0.61606,1.3775,2.03684,1.32114,0.005248,0.005248,0.005248
50,1532.47,1.27233,2.26793,1.1989,0.87551,0.8383,0.86342,0.59776,1.32953,2.12344,1.3054,0.005149,0.005149,0.005149
51,1562.62,1.25947,2.21512,1.19258,0.81949,0.85778,0.8577,0.59355,1.33106,2.18796,1.29917,0.00505,0.00505,0.00505
52,1595.43,1.24135,2.17098,1.18475,0.89596,0.88957,0.89133,0.6102,1.36102,2.05333,1.34001,0.004951,0.004951,0.004951
53,1626.58,1.23339,2.09169,1.17738,0.85685,0.87243,0.87924,0.62424,1.33541,2.16141,1.33839,0.004852,0.004852,0.004852
54,1657.41,1.24608,2.15738,1.1918,0.8681,0.87231,0.8878,0.62472,1.33314,1.93687,1.31157,0.004753,0.004753,0.004753
55,1688.03,1.19946,2.05329,1.16802,0.91863,0.88573,0.90955,0.64179,1.31899,1.92832,1.29064,0.004654,0.004654,0.004654
56,1718.78,1.19842,2.03484,1.15666,0.92286,0.88832,0.91113,0.64424,1.32353,2.03379,1.30411,0.004555,0.004555,0.004555
57,1749.08,1.2049,2.07237,1.16828,0.87803,0.8877,0.90326,0.63758,1.31053,1.96758,1.28734,0.004456,0.004456,0.004456
58,1779.34,1.19826,2.03676,1.17735,0.90668,0.90701,0.92172,0.63787,1.32358,1.92497,1.30028,0.004357,0.004357,0.004357
59,1809.63,1.2088,2.04296,1.16657,0.9157,0.91843,0.9247,0.65764,1.28872,1.90468,1.28191,0.004258,0.004258,0.004258
60,1839.75,1.20052,2.01355,1.16587,0.8939,0.90457,0.90517,0.63134,1.31576,1.90085,1.29073,0.004159,0.004159,0.004159
61,1871.3,1.19153,1.97415,1.17063,0.87199,0.889,0.88692,0.63559,1.28495,1.99046,1.27369,0.00406,0.00406,0.00406
62,1902.44,1.17326,1.96863,1.1614,0.89498,0.88496,0.90006,0.63157,1.28677,1.99889,1.29179,0.003961,0.003961,0.003961
63,1933.79,1.18004,1.91281,1.14476,0.90773,0.88068,0.89879,0.63866,1.30915,1.89111,1.28887,0.003862,0.003862,0.003862
64,1965.08,1.16172,1.94994,1.14752,0.92249,0.89488,0.91402,0.64484,1.31324,1.81233,1.2801,0.003763,0.003763,0.003763
65,1996.22,1.18645,1.90019,1.16084,0.90852,0.89977,0.91351,0.64829,1.29833,1.98676,1.25699,0.003664,0.003664,0.003664
66,2030.47,1.16528,1.89144,1.14922,0.91508,0.9397,0.94157,0.66963,1.31165,1.9657,1.26178,0.003565,0.003565,0.003565
67,2061.8,1.15563,1.94695,1.14863,0.88765,0.90045,0.90606,0.65953,1.24668,1.91605,1.24665,0.003466,0.003466,0.003466
68,2092.49,1.15203,1.91855,1.14916,0.91608,0.90476,0.92454,0.67103,1.25176,1.94399,1.23956,0.003367,0.003367,0.003367
